,created_at,id,full_text,gpe,latitude,longitude
420,Thu Jun 23 04:33:28 +0000 2022,1539828964218241025,at the  regional hospital ambulances from  pole alam and  are coming and going already at leas _locincl_,Logar,34.0653595,69.160172
421,Wed Jun 22 22:40:15 +0000 2022,1539740074547417088,my family is in  other areas in   and  are also hit by earthquake and floods   _urlincl_ _locincl_,Gardez,33.5877097,69.2685645
422,Thu Jun 23 14:58:37 +0000 2022,1539986291009404928,in the  district of  alone 300 houses were completely destroyed and 500 destroyed with locals saying ther _locincl_,Barmal,32.71433,69.275053
423,Thu Jun 23 11:21:59 +0000 2022,1539931771571167233,today unhcr rushed initial shelter supplies from  into the earthquake affected areas of  in   _locincl_,Bermal,32.71433,69.275053
424,Thu Jun 23 13:08:59 +0000 2022,1539958696863744007,this is a small village of  area of   150 civilians have lost their lives and appro _locincl_,Bermal district,32.71433,69.275053
425,Thu Jun 23 12:03:56 +0000 2022,1539942328671973381,search and rescue missions continuing after the earthquake in  and  districts of   http _locincl_,Barmal,32.71433,69.275053
426,Thu Jun 23 12:03:56 +0000 2022,1539942328671973381,search and rescue missions continuing after the earthquake in  and  districts of   http _locincl_,Barmal,32.71433,69.275053
427,Wed Jun 22 16:47:39 +0000 2022,1539651340032323585,خاکسپاری دسته جمعی جان باختگان زلزله مرگبار  در شهرستان  افغانستان_تسلیت   _urlincl_ _locincl_,گیان ولایت پکتیکا,32.975159,69.399302
428,Thu Jun 23 07:01:20 +0000 2022,1539866178138562563,this is a small village of  area of   150 civilians have lost their lives and appro _locincl_,Bermal district,32.71433,69.275053
429,Thu Jun 23 09:40:21 +0000 2022,1539906194583715840,this is  area of   as per sources on the ground 150 civilians lost their lives and aro _locincl_,Bermal district,32.71433,69.275053
430,Thu Jun 23 00:41:29 +0000 2022,1539770585445810178,every house you went to there was eight or nine bodies of people killed in the earthquake in  district of  pr _locincl_,Barmal,32.71433,69.275053
431,Thu Jun 23 09:32:43 +0000 2022,1539904275098345472,this is a small village of  area of   150 civilians have lost their lives and appro _locincl_,Bermal district,32.71433,69.275053
432,Wed Jun 22 18:41:52 +0000 2022,1539680085829107713,every house you went to there was eight or nine bodies of people killed in the earthquake in  district of  pr _locincl_,Barmal,32.71433,69.275053
433,Wed Jun 22 20:36:29 +0000 2022,1539708926505140226,خاکسپاری دسته جمعی جان باختگان زلزله مرگبار  در شهرستان  افغانستان_تسلیت   _urlincl_ _locincl_,گیان ولایت پکتیکا,32.975159,69.399302
434,Wed Jun 22 23:14:42 +0000 2022,1539748744329154560,it’s  ambulances in   are parked outside on the main street waiting to head to  to transfer the inju _locincl_,Gardez,33.5877097,69.2685645
435,Wed Jun 22 23:48:05 +0000 2022,1539757146757292032,every house you went to there was eight or nine bodies of people killed in the earthquake in  district of  pr _locincl_,Barmal,32.71433,69.275053
436,Thu Jun 23 02:16:06 +0000 2022,1539794397264547843,update 17 members of a family were killed in last nights earthquake in  in  district of the pr _locincl_,Barmal,32.71433,69.275053
437,Thu Jun 23 12:39:01 +0000 2022,1539951157409464322,this man has lost 17 family members in afghanistanearthquake  district of  the death toll has surpassed 100 _locincl_,Barmal,32.71433,69.275053
438,Thu Jun 23 12:23:37 +0000 2022,1539947281843101696,search and rescue missions continuing after the earthquake in  and  districts of   http _locincl_,Barmal,32.71433,69.275053
439,Thu Jun 23 12:23:37 +0000 2022,1539947281843101696,search and rescue missions continuing after the earthquake in  and  districts of   http _locincl_,Barmal,32.71433,69.275053
440,Thu Jun 23 14:07:38 +0000 2022,1539973459719049218,خاکسپاری دسته جمعی جان باختگان زلزله مرگبار  در شهرستان  افغانستان_تسلیت   _urlincl_ _locincl_,گیان ولایت پکتیکا,32.975159,69.399302
